Rank,Marks,max marks,no of candidates,normalized marks,rank ratio,log rank ratio
15401,162,366,159540,0.4426229508,0.09653378463,-1.015320667
15501,162,366,159540,0.4426229508,0.09716058669,-1.012509871
15601,161,366,159540,0.4398907104,0.09778738874,-1.009717151
15701,161,366,159540,0.4398907104,0.0984141908,-1.006942274
15801,161,366,159540,0.4398907104,0.09904099285,-1.004185015
15901,160,366,159540,0.4371584699,0.09966779491,-1.00144515
15901,160,366,159540,0.4371584699,0.09966779491,-1.00144515
16001,160,366,159540,0.4371584699,0.100294597,-0.9987224625
16101,160,366,159540,0.4371584699,0.100921399,-0.9960167377
16101,160,366,159540,0.4371584699,0.100921399,-0.9960167377
16101,160,366,159540,0.4371584699,0.100921399,-0.9960167377
16201,159,366,159540,0.4344262295,0.1015482011,-0.9933277657
16301,159,366,159540,0.4344262295,0.1021750031,-0.9906553403
16501,159,366,159540,0.4344262295,0.1034286072,-0.9853593234
16601,158,366,159540,0.4316939891,0.1040554093,-0.9827353381
16801,158,366,159540,0.4316939891,0.1053090134,-0.9775344559
16901,157,366,159540,0.4289617486,0.1059358155,-0.974957186
17001,157,366,159540,0.4289617486,0.1065626175,-0.9723951204
17001,157,366,159540,0.4289617486,0.1065626175,-0.9723951204
17201,157,366,159540,0.4289617486,0.1078162216,-0.9673158919
17301,156,366,159540,0.4262295082,0.1084430237,-0.9647983816
17401,156,366,159540,0.4262295082,0.1090698257,-0.9622953807
17401,156,366,159540,0.4262295082,0.1090698257,-0.9622953807
17501,156,366,159540,0.4262295082,0.1096966278,-0.9598067229
17601,155,366,159540,0.4234972678,0.1103234299,-0.9573322448
17701,155,366,159540,0.4234972678,0.1109502319,-0.9548717856
17801,155,366,159540,0.4234972678,0.111577034,-0.9524251875
17901,155,366,159540,0.4234972678,0.112203836,-0.9499922952
18001,154,366,159540,0.4207650273,0.1128306381,-0.9475729558
18201,154,366,159540,0.4207650273,0.1140842422,-0.9427743381
18301,154,366,159540,0.4207650273,0.1147110443,-0.9403947667
18501,153,366,159540,0.4180327869,0.1159646484,-0.9356743846
18601,153,366,159540,0.4180327869,0.1165914504,-0.933333295
18701,152,366,159540,0.4153005464,0.1172182525,-0.9310047575
18901,152,366,159540,0.4153005464,0.1184718566,-0.9263848056
19001,152,366,159540,0.4153005464,0.1190986586,-0.9240931298
19101,151,366,159540,0.412568306,0.1197254607,-0.9218134831
19201,151,366,159540,0.412568306,0.1203522628,-0.9195457401
19301,151,366,159540,0.412568306,0.1209790648,-0.917289777
19401,151,366,159540,0.412568306,0.1216058669,-0.915045472
19501,150,366,159540,0.4098360656,0.1222326689,-0.9128127054
19601,150,366,159540,0.4098360656,0.122859471,-0.910591359
19701,150,366,159540,0.4098360656,0.123486273,-0.9083813167
19801,150,366,159540,0.4098360656,0.1241130751,-0.9061824639
19901,149,366,159540,0.4071038251,0.1247398771,-0.903994688
20001,149,366,159540,0.4071038251,0.1253666792,-0.9018178779
20001,149,366,159540,0.4071038251,0.1253666792,-0.9018178779
